Report
"Hello, I'm Harper Anderson at 9999 Ash Street. I've just witnessed a drug deal happening in the alley behind my house"
"Hello, my name is Charlotte Martin. I'm at 9876 Spruce Way and I just witnessed a crime. A man just robbed a convenience store. He was wearing a black hoodie and sunglasses, and he had a gun in his handEmergency, this is Charlotte Martin from 9876 Spruce Way. I've just seen a fight break out at the bar down the street. There are several people involved and they're all armed. The fight is getting out of control and people are getting hurt"
"Emergency, this is Noah Evans from 321 Elm Drive. There's a suspicious person lurking around my neighbor's house. I think they might be planning to break in"
"Emergency, this is Mia Harris from 789 Pine Lane. There's a suspicious person lurking around my neighbor's house. I think they might be planning to break in"
"Help, I'm Noah Evans and I'm calling from 8888 Alder Court. I just saw a man attacking someone with a baseball bat"
"Emergency, this is Mohammed Ali from 5678 Palm Blvd. I just saw a group of people breaking into a school"
"Help, I'm Liam Williams and I'm calling from 321 Elm Drive. I just saw a man attacking someone with a baseball bat"
This is Sarah Wilson at 1111 Magnolia Place. I just saw a group of people vandalizing a store. They're breaking windows and spray painting the walls
"Help, I'm John Doe and I'm calling from 4321 Cypress Avenue. I just saw a man attacking someone with a baseball bat"
"Emergency, this is Olivia Taylor from 9876 Spruce Way. I just saw a group of people breaking into a school"
"Emergency, this is John Doe from 9876 Spruce Way. There's a suspicious person lurking around my neighbor's house. I think they might be planning to break in"
"Hello, my name is Noah Evans. I'm at 8888 Alder Court and I just witnessed a crime. A man just robbed a convenience store. He was wearing a black hoodie and sunglasses, and he had a gun in his handEmergency, this is Noah Evans from 8888 Alder Court. I've just seen a fight break out at the bar down the street. There are several people involved and they're all armed. The fight is getting out of control and people are getting hurt"
"Hello, this is Liam Williams at 1111 Magnolia Place. I just saw a woman shoplifting at the local store"
This is Amelia Thompson at 3456 Locust Way. I just saw a group of people vandalizing a store. They're breaking windows and spray painting the walls. They're also throwing rocks at people who are trying to stop them
"Help, I'm Sophia White and I'm calling from 2222 Cherry Drive. I just saw a group of people stealing bikes from the bike rack"
"Emergency, this is Olivia Taylor from 8765 Juniper Road. I just saw a man breaking into a car"
"Emergency, this is Sarah Wilson from 1111 Magnolia Place. I just saw a group of people breaking into a school"
"Emergency, this is Emily Davis from 321 Elm Drive. There's a suspicious person lurking around my neighbor's house. I think they might be planning to break in"
"Emergency, I'm Isabella Jackson at 6666 Dogwood Lane. I've just seen a hit and run. A car hit a pedestrian and drove off. The pedestrian is lying on the ground and they're not moving. The car is a red sedan and it's heading towards the highway"
"Hello, I'm Jessica Thompson at 2345 Hickory Street. I've just witnessed a drug deal happening in the alley behind my house"
"Help, I'm Mia Harris and I'm calling from 789 Pine Lane. I just saw a man attacking someone with a baseball bat"
"Help, my name is Sophia White. I'm at 7777 Hemlock Circle and I just saw a man threatening a store clerk"
"Emergency, this is Mohammed Ali from 8888 Alder Court. I just saw a group of people breaking into a school"
This is Isabella Jackson at 654 Maple Road. I just saw a group of people vandalizing a store. They're breaking windows and spray painting the walls. They're also throwing rocks at people who are trying to stop them
"Hello, this is Isabella Jackson at 3456 Locust Way. I just saw a man assaulting a woman in the park. She needs help immediately"
This is Evelyn Roberts at 8765 Juniper Road. I just saw a group of people vandalizing a store. They're breaking windows and spray painting the walls. They're also throwing rocks at people who are trying to stop them
"Help, I am Harper Anderson and I'm calling from 2345 Hickory Street. Someone just stole my car. It's a black Honda Accord with the license plate number 123456. The car was parked in front of my house and it's gone"
"Help, I am Harper Anderson and I'm calling from 3456 Locust Way. Someone just stole my car. It's a black Honda Accord with the license plate number 123456. The car was parked in front of my house and it's gone"
"Emergency, this is James Brown from 8888 Alder Court. I just saw a group of people breaking into a school"
"Help, my name is Jane Smith. I'm at 456 Oak Avenue and I just saw a man threatening a store clerk"
